FSN,Category,Primary USP-1 Attribute,Primary USP-1 Description Text,Primary USP-2 Attribute,Primary USP-2 Description Text,Primary USP-3 Attribute,Primary USP-3 Description Text,Primary USP-4 Attribute,Primary USP-4 Description Text,Primary USP-5 Attribute,Primary USP-5 Description Text,Secondary USP-1 Attribute,Secondary USP-1 Description Text,Secondary USP-2 Attribute,Secondary USP-2 Description Text,Secondary USP-3 Attribute,Secondary USP-3 Description Text,Secondary USP-4 Attribute,Secondary USP-4 Description Text,Secondary USP-5 Attribute,Secondary USP-5 Description Text
RFRDZEQ7UBXB9DYV,Refrigerator,Moisture Retention, ,Microblock, ,6th sense Actifresh, ,Air booster, ,Fresh Keeper, ,Frost free, ,,,,,,,,
RFRE33WGSXUWYMYZ,Refrigerator,Fm Radio, ,Mp3 Player, ,Dual Speakers,80 W,Mobile charger, ,Cooling Retention,Upto 24 Hours,Fast ice, ,Silver ion,Anti-Bacterial,Deodorizer, ,Environment friendly, ,Star rating,5 Star
